S/No	IRACFWSDMBE	Fuse_ID	Project	Version	Station	LightBox	Fixture	LightPanel	Date	Time	MTF_CT	MTF_TL	MTF_TR	MTF_BL	MTF_BR	Focus_max	Focus_target	with_knob	pick_up_knob	AF_max	MTF_DE1	MTF_DE2	W_CT	W_TL	W_TR	W_BL	W_BR	B_CT	B_TL	B_TR	B_BL	B_BR	AF_CT	AF_TL	AF_TR	AF_BL	AF_BR	AFP_CT	AFP_TL	AFP_TR	AFP_BL	AFP_BR	AFP	AFP_DIFF	Infinity	100cm	100mm	S_CT	S_TL	S_TR	S_BL	S_BR	Shd	Bal	DC_CT	DC_TL	DC_TR	DC_BL	DC_BR	DC_Rate	CT_R	TL_R	TR_R	BR_R	BL_R	CT_G	TL_G	TR_G	BR_G	BL_G	CT_B	TL_B	TR_B	BR_B	BL_B	DCT_a	DTL_a	DTR_a	DBR_a	DBL_a	DCT_b	DTL_b	DTR_b	DBR_b	DBL_b	DZ1	DZ2	WZ1	WZ2	WZ1S	WZ2S	DC	WL	BLEM	DV	BZ1	BZ2	WZ1	WZ2	WZ1S	WZ2S	BC	WL	BV	CL_1	CL_2	CL_3	CL_4	CL_5	CL_6	Ca_1	Ca_2	Ca_3	Ca_4	Ca_5	Ca_6	Cb_1	Cb_2	Cb_3	Cb_4	Cb_5	Cb_6	DVDD_WK	AVDD_WK	DOVDD_WK	DVDD_STB	AVDD_STB	DOVDD_STB	Lost_bit	mess_wavy	ripple	Centroid_X	Centroid_Y	OA_Delta_X	OA_Delta_Y	OA_Delta_V	cost_time	
NULL	-----OOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	09:23:09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5132.51	5065.43	150.45	43.96	46.52	45.79	48.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	164.38	56.55	58.36	57.82	61.21	34.40	92.37	164.17	51.30	53.02	52.38	55.21	3.15	136.96	40.00	41.09	41.81	43.63	196.38	67.70	69.98	69.49	73.69	114.28	41.91	43.01	43.55	45.76	0.00	15.28	15.81	13.72	15.10	0.00	-6.39	-5.60	-7.69	-6.70	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.02	1330	930	47.60	-58.80	75.65	39.3	
NULL	-----OXXO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	09:25:39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5101.89	4590.72	151.73	17.43	46.14	37.37	52.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	159.52	43.59	55.74	50.99	63.33	27.32	68.83	159.12	31.46	50.10	44.42	57.05	7.55	116.46	28.86	36.10	34.00	41.38	160.58	43.89	56.14	51.33	63.77	95.23	27.02	34.78	31.85	39.34	0.00	9.34	11.33	8.67	10.53	0.00	-3.78	-4.46	-4.61	-4.02	0	1481	0	0	0	0	1	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	0	0	0.00	0	0	0.00	0.00	0.00	39.2	
1	-O--OXOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	09:28:26	82.64	0.00	0.00	0.00	0.00	89.54	82.38	82.05	82.14	90.53	5496.02	5727.44	155.64	49.29	49.84	51.54	51.00	14.79	0.00	0.00	0.00	0.00	0.00	86.69	87.09	86.64	87.83	0.00	389.00	366.00	391.00	382.00	382.00	25.00	246	0	382	162.35	60.16	59.55	62.19	61.48	36.68	95.76	162.19	54.49	54.06	56.50	55.70	3.35	119.60	35.83	33.92	36.69	35.27	162.60	60.26	59.67	62.31	61.60	95.95	37.45	36.54	39.08	38.15	0.00	19.14	22.72	19.95	22.16	0.00	-5.33	-3.79	-6.30	-4.98	0	2	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.02	1294	942	-2.80	-42.00	42.09	143.3	
3	-O--OXOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	09:31:11	84.64	0.00	0.00	0.00	0.00	90.61	83.36	83.83	83.71	90.38	5542.96	5674.43	154.84	50.24	50.58	51.26	51.03	14.24	0.00	0.00	0.00	0.00	0.00	85.94	87.71	85.81	87.68	0.00	349.00	336.00	350.00	341.00	344.00	14.00	220	0	344	162.37	60.14	59.96	61.46	60.80	36.93	97.56	162.26	54.67	54.62	56.01	55.47	3.26	121.46	38.28	37.13	36.98	35.68	162.56	60.20	60.02	61.54	60.87	96.78	38.98	38.16	38.77	37.35	0.00	14.88	17.21	19.57	21.56	0.00	-8.78	-6.78	-5.83	-3.06	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.02	1290	968	-8.40	-5.60	10.10	103.2	
5	-O--OXOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	09:33:13	86.04	0.00	0.00	0.00	0.00	90.97	83.69	85.49	85.44	91.08	5766.24	5389.73	155.36	48.69	52.24	48.24	51.72	15.93	0.00	0.00	0.00	0.00	0.00	85.14	84.93	86.24	84.06	0.00	362.00	326.00	358.00	323.00	342.00	39.00	222	0	342	162.17	58.31	62.61	58.51	62.24	35.96	93.14	161.26	53.22	56.64	53.16	56.32	3.00	120.91	35.94	36.50	35.28	35.21	162.37	58.38	62.70	58.58	62.30	97.50	37.49	39.43	37.15	38.30	0.00	17.34	21.84	19.13	24.10	0.00	-6.95	-4.73	-5.61	-2.38	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.03	1338	978	58.80	8.40	59.40	99.8	
6	-O--OXOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	09:35:10	83.32	0.00	0.00	0.00	0.00	88.71	81.61	83.02	83.11	89.67	5073.28	5481.93	147.16	45.68	46.03	49.42	50.40	16.12	0.00	0.00	0.00	0.00	0.00	85.67	86.95	86.22	87.55	0.00	324.00	301.00	323.00	301.00	312.00	23.00	200	0	312	154.60	54.99	54.89	59.50	60.28	35.51	91.07	154.88	50.01	49.96	54.17	54.78	3.25	116.21	34.02	33.48	34.41	34.59	154.72	55.03	54.93	59.56	60.31	93.06	35.17	35.29	37.20	37.50	0.00	17.70	18.86	23.09	23.63	0.00	-6.26	-6.80	-3.86	-3.37	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.02	1304	912	11.20	-84.00	84.74	99.8	
h1	-O--OXOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	10:38:35	84.52	0.00	0.00	0.00	0.00	91.24	83.94	83.06	83.19	91.39	5476.27	5747.23	155.96	49.67	49.38	51.52	50.87	17.10	0.00	0.00	0.00	0.00	0.00	86.31	87.97	85.68	87.94	0.00	388.00	370.00	389.00	374.00	380.00	19.00	244	0	380	162.56	59.96	59.55	62.40	61.55	36.63	95.44	162.53	54.40	53.75	56.64	55.66	3.56	119.88	35.60	34.04	36.65	35.36	162.56	59.96	59.53	62.40	61.54	96.12	37.55	36.63	39.43	38.30	0.00	19.50	22.45	20.35	22.09	0.00	-5.92	-4.06	-6.88	-5.24	0	2	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.02	1298	938	2.80	-47.60	47.68	128.0	
h3	-O--OOOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	10:41:12	84.64	0.00	0.00	0.00	0.00	89.64	82.47	83.86	83.89	90.44	5317.96	5500.30	149.23	48.38	48.31	49.64	49.29	13.53	0.00	0.00	0.00	0.00	0.00	86.92	84.55	86.84	85.48	0.00	370.00	344.00	363.00	345.00	355.00	26.00	220	0	355	156.40	57.78	57.62	59.40	58.88	36.84	97.00	156.33	52.55	52.33	54.35	53.58	3.37	116.59	36.90	35.91	35.86	34.90	156.44	57.79	57.63	59.43	58.91	92.41	37.57	36.74	37.60	36.19	0.00	14.32	16.39	19.02	20.51	0.00	-10.05	-7.92	-7.13	-4.01	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.03	1292	962	-5.60	-14.00	15.08	96.5	
h5	-O--OXOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	10:43:10	84.15	0.00	0.00	0.00	0.00	90.07	82.86	83.40	83.30	91.23	5792.62	5352.08	153.86	48.30	52.55	47.44	52.23	12.46	0.00	0.00	0.00	0.00	0.00	86.68	88.34	85.34	88.22	0.00	341.00	332.00	354.00	338.00	341.00	22.00	221	0	341	160.71	58.25	62.78	58.11	62.61	36.16	92.56	159.79	52.86	56.86	52.72	56.81	3.17	119.01	36.02	36.58	34.94	35.38	160.66	58.24	62.77	58.09	62.60	95.15	37.44	39.35	36.83	38.37	0.00	16.50	21.32	18.82	23.71	0.00	-8.53	-5.85	-7.05	-3.48	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.03	1342	982	64.40	14.00	65.90	101.4	
h6	-O--OXOOO--	0	FH50AF-429H	1.0.0.4	Focus	000	000	000	20141209	10:45:13	84.24	0.00	0.00	0.00	0.00	89.06	81.93	83.66	83.84	90.69	5007.73	5574.27	147.66	45.21	45.27	50.17	49.91	14.20	0.00	0.00	0.00	0.00	0.00	86.83	87.44	86.55	87.44	0.00	323.00	303.00	324.00	304.00	313.00	21.00	200	0	313	155.16	54.96	54.42	60.40	60.25	35.07	90.10	155.38	49.85	49.22	55.04	54.47	3.39	116.48	34.01	33.37	34.92	34.55	155.17	54.95	54.41	60.38	60.23	93.73	35.32	35.17	38.11	37.70	0.00	17.55	18.30	22.95	23.58	0.00	-6.40	-7.01	-4.49	-3.62	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.000	0.000	0.000	1	39	0.02	1306	910	14.00	-86.80	87.92	91.8	
